PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N200705312675,3,2,0,0,56 Ringold St,3756025,CONSTRUCTION,2014-03-12
N200706053001,3,3,0,0,3241 25th St,6525034,BP Filed,2007-06-05
N200703307744,3,3,0,0,1225 Dolores St,6534029,BP APPROVED,2013-07-24
N200712201032,2,1,0,0,168 Clipper St,6549021,CONSTRUCTION,2014-02-25
N200606234934,2,1,0,0,3736 Cesar Chavez St,6567013,CONSTRUCTION,2014-04-09
N200606073385,2,1,0,0,389 27th St,6592034,CONSTRUCTION,2007-10-29
N200602073988,2,1,0,0,230 Duncan St,6593006,CONSTRUCTION,2008-02-05
N201210091512,2,1,0,0,2207 25th St,4282A023,CONSTRUCTION,2013-03-12
N201009241613,2,1,0,0,1734 Newcomb Av,5305010,BP Filed,2010-09-24
N201006214964,4,4,0,0,3143 24th St,6520035,PL Filed,2011-05-23
N201006104250,61,61,0,0,5050 Mission St,6969011,BP APPROVED,2014-03-13
N201004150330,2,1,0,0,727 29th Av,1615003,CONSTRUCTION,2013-05-13
N201106228677,4,1,0,0,1551 Franklin St,665002,BP ISSUED,2014-06-30
N201306280802,220,220,0,0,250 4th St,3733008,BP Filed,2013-06-28
N200612139805,3,3,0,0,4411 Cabrillo St,1688001A,BP Filed,2006-12-13
N200709072126,2,1,0,0,836 48th Av,1690032,BP REINSTATED,2011-11-08
N200605111391,2,2,0,0,1208 15th Av,1736033,CONSTRUCTION,2014-06-06
N200607217229,2,1,0,0,614 Kirkham St,1843019,BP Filed,2006-07-21
N200407158977,1,1,0,0,1310 Stanyan St,2706035,CONSTRUCTION,2012-07-05
N200807308027,2,1,0,0,49 Grace St,3509027,BP Filed,2008-07-30
N200810315586,156,156,0,0,1415 Mission St,3510001,BP ISSUED,2013-07-22
N200612018971,2,1,0,0,1698 10th Av,1934023,BP Filed,2006-12-01
N200807035945,2,1,0,0,427 Moraga St,2039044,BP Filed,2008-07-03
N200904065665,6,6,0,0,1701 09th Av,2040001,CONSTRUCTION,2013-01-08
N200601132095,1,1,0,0,331 Collingwood St,2752024,BP Filed,2006-01-13
N200708079019,10,10,0,0,2350 19th Av,2347004G,BP REINSTATED,2014-05-30
N200806033455,2,1,0,0,2322 21st Av,2349036,BP ISSUED,2011-11-08
N200712120290,3,3,0,0,3534 Taraval St,2374019,BP APPROVED,2009-02-26
N201312315426,2,1,0,0,2337 Taraval St,2392037,BP Filed,2013-12-31
N201007146550,2,2,0,0,2115 Taraval St,2394046,BP ISSUED,2012-12-31
N201206293848,2,2,0,0,188 Museum Wy,2620119,BP ISSUED,2013-10-15
N201305177243,24,24,0,0,376 Castro St,2623006,BP Filed,2013-05-17
N201405307098,1,1,0,0,4126 17th St,2623028,BP Filed,2014-05-30
N200509021966,2,1,0,0,70 Douglass St,2625007A,BP Filed,2006-03-03
N200803288288,2,2,0,0,1169 Stanyan St,2630018,BP ISSUED,2013-09-25
N200803278181,1,1,0,0,125 Crown Tr,2719B003,BP Filed,2008-03-27
N200810224853,1,1,0,0,1240 Twin Peaks Bl,2821021,BP APPROVED,2010-05-26
N201108233049,273,273,0,0,55 9th St,3701064,CONSTRUCTION,2013-12-09
N200810224855,1,1,0,0,1230 Twin Peaks Bl,2821022,BP APPROVED,2010-05-26
N200908255545,5,5,0,0,70 Crestline Dr,2845005,BP ISSUED,2013-05-15
N200810315629,1,1,0,0,160 San Marcos Av,2861011,CONSTRUCTION,2014-01-23
N201208207720,1,1,0,0,69 Garcia Av,2936A001D,BP Filed,2012-08-20
N200609061483,1,1,0,0,1325 Portola Dr,2987A036,CONSTRUCTION,2013-12-20
N200805061381,3,3,0,0,207 Los Palmos Dr,3027A001,CONSTRUCTION,2013-12-13
N201203015201,71,71,0,0,50 Phelan Av,3180001,CONSTRUCTION,2014-06-26
N200810315636,15,15,0,0,1446 Ocean Av,3197010,BP Filed,2008-10-31
N200607186852,6,6,0,0,270 Ocean Av,3211010A,BP APPROVED,2014-04-15
N200708109444,3,3,0,0,85 Brosnan St,3533165,BP REINSTATED,2012-03-06
N201205180774,37,37,0,0,25 Dolores St,3534069,CONSTRUCTION,2014-07-01
N201301097560,3,1,0,0,45 Belcher St,3537078,CONSTRUCTION,2014-05-01
N200803207576,5,3,0,0,435 Duboce Av,3537087,PL Approved,2011-08-10
N201312134180,87,87,0,0,2198 Market St,3542039,BP Filed,2013-12-13
N201207205377,88,88,0,0,2175 Market St,3543011,CONSTRUCTION,2014-06-18
N201012237367,39,39,0,0,1875 Mission St,3548032,CONSTRUCTION,2014-03-28
N201306280738,23,23,0,0,1450 15th St,3549064,BP Filed,2013-06-28
N201207124717,656,656,0,0,201 Folsom St,3746001,CONSTRUCTION,2014-06-13
N200605161774,452,452,0,0,399 Fremont St,3747320,BP ISSUED,2013-06-14
N201210242702,8,8,0,0,1785 15th St,3555036,BP ISSUED,2013-12-18
N200311180506,13,13,0,0,200 Dolores St,3557062,BP Filed,2008-08-19
N200810023278,22,22,0,0,2210 Market St,3560001,BP ISSUED,2012-03-14
N201003248891,3,2,0,0,3249 17th St,3575063,BP ISSUED,2014-03-17
N200805192371,2,1,0,0,4035 18th St,3583082,CONSTRUCTION,2014-06-23
N200701292823,4,2,0,0,2374 Folsom St,3594009,CONSTRUCTION,2012-05-10
N200512200747,6,6,0,0,3360 20th St,3594016,BP APPROVED,2010-10-21
N200408121427,18,18,0,0,899 Valencia St,3596113,CONSTRUCTION,2014-07-01
N200808139076,1,1,0,0,3927 19th St,3601073,BP Filed,2008-08-13
N200507147539,3,2,0,0,2986 22nd St,3613018B,CONSTRUCTION,2014-05-01
N201301168124,114,114,0,0,2558 Mission St,3616007,CONSTRUCTION,2014-06-24
N201012277437,15,15,0,0,1050 Valencia St,3617008,BP ISSUED,2013-07-17
N200602094307,2,2,0,0,1090 Church St,3628014,BP Filed,2006-02-09
N200602023710,47,47,0,0,570 Jessie St,3703086,BP Filed,2006-02-02
N200712211199,100,100,0,0,973 Market St,3704069,CONSTRUCTION,2008-08-14
N201305015894,140,140,0,0,181 Fremont St,3719010,BP ISSUED,2013-12-26
N200810063512,55,55,0,0,474 Natoma Street,3725101,CONSTRUCTION,2013-11-25
N200809252699,10,10,0,0,574 Natoma St,3726075,BP Filed,2008-09-25
N200707055953,7,7,0,0,4132 03rd St,5260003,CONSTRUCTION,2014-07-28
N200709193092,2,2,0,0,1076-1078 Hampshire St,4152016,CONSTRUCTION,2012-02-21
N9902819,8,8,0,0,1179 Tennessee St,4172053,CONSTRUCTION,2014-05-23
N201104194374,3,1,0,0,639 Natoma St,3727035,CONSTRUCTION,2013-04-01
N200606093615,25,25,0,0,1145 Mission St,3727168,BP Filed,2006-06-09
N200806164548,76,37,0,0,226 06th St,3731003,BP ISSUED,2012-12-10
N200601202701,8,8,0,0,190 Russ St,3731087,BP Filed,2006-01-20
N200806063801,4,4,0,0,48 Harriet St,3731102,BP Filed,2008-06-06
N201106017208,282,282,0,0,900 Folsom St,3732009,CONSTRUCTION,2014-03-13
N200507208144,25,25,0,0,468 Clementina St,3732071,BP ISSUED,2013-10-23
N201108112225,1,1,0,0,457 Tehama St,3732087,BP REINSTATED,2013-08-05
N200506074411,2,2,0,0,746 Carolina St,4096005,CONSTRUCTION,2010-03-22
N201402118267,2,1,0,0,891 Carolina St,4097027,BP Filed,2014-02-11
N200612159955,2,1,0,0,749 Wisconsin St,4098027,BP Filed,2006-12-15
N200412211855,312,312,0,0,425 First Street,3765015,CONSTRUCTION,2014-06-09
N200903134091,113,113,0,0,429 Beale St,3767305,PL Approved,2009-05-14
N200504281137,1,1,0,0,136 South Park Av,3775063,BP APPROVED,2011-02-08
N201309045886,557,557,0,0,801 Brannan St,3783001,BP Filed,2013-09-04
N200705010136,74,74,0,0,72 Townsend St,3789003,CONSTRUCTION,2014-06-11
N201306280783,132,132,0,0,144 King St,3794024,BP Filed,2013-06-28
N201107220904,15,15,0,0,1150 16th Street,3821007,BP Filed,2011-07-22
N201112070227,470,470,0,0,1000 16th St,3833001,BP ISSUED,2012-09-07
N200805142097,2,1,0,0,1331 Florida St,4273018,BP Filed,2008-05-14
N201306250394,560,560,0,0,1 Henry Adams St,3911001,BP APPROVED,2014-03-14
N201208248160,12,12,0,0,2401 16th St,3965001,CONSTRUCTION,2014-06-30
N201306250465,84,84,0,0,480 Potrero Av,3973002C,BP REINSTATED,2014-05-23
N201312244989,121,121,0,0,630 Indiana St,4041009,BP Filed,2013-12-24
N201309257711,71,71,0,0,2298 03rd St,4059009,BP Filed,2013-09-25
N201012307679,2,2,0,0,857 Alabama St,4085026,CONSTRUCTION,2012-11-02
