PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201111038205,40,40,0,0,1501 15th St,3553054,CONSTRUCTION,2014-02-25
N200902232592,5,4,0,0,265 Dorland St,3580035,PL Approved,2009-11-24
N200505031415,2,1,0,0,530 Sanchez St,3584007,CONSTRUCTION,2014-02-27
N200602104391,29,29,0,0,793 South Van Ness Av,3591024,PL Filed,2012-08-14
N200210249843,134,134,0,0,555 Market St,3708058,PL APPROVED,2002-12-05
N201006295585,23,23,0,0,42 Harriet St,3731101,PL Approved,2010-12-20
N201106017202,182,182,0,0,260 05th St,3732008,CONSTRUCTION,2014-03-31
N201207164905,36,36,0,0,345 06th St,3753081,BP Filed,2012-07-16
N201012227225,35,35,0,0,495 Cambridge St,5992A060,BP Filed,2010-12-22
N200803046204,3,3,0,0,2798 San Bruno Av,6048013,PL Filed,2009-04-09
N200608290880,35,35,0,0,1080 Sutter St,279011,CONSTRUCTION,2014-01-14
N200812088008,2,1,0,0,2919 Laguna St,531004,PL Approved,2009-10-22
N201110146841,38,38,0,0,1645-1661 Pacific Av,595013,CONSTRUCTION,2014-03-24
N200711309388,3,3,0,0,1870 Golden Gate Av,1152017,CONSTRUCTION,2014-01-07
N201101188484,2,1,0,0,118 Broderick St,1237023,PL Approved,2011-05-12
N200609071633,4,3,0,0,1029 Natoma St,3511055,PL Approved,2009-06-11
N200911171348,1,1,0,0,2420 03rd St,4108003F,BP ISSUED,2012-12-19
N200601242864,2,1,0,0,239 Minerva St,7092070,PL Approved,2009-07-22
N200901220624,3,1,0,0,253 Parker Av,1086006,CONSTRUCTION,2014-03-25
N200901029483,2,2,0,0,4563 Mission St,6014032,PL Approved,2010-10-07
N201005122282,2,2,0,0,35 Lloyd St,1260035,CONSTRUCTION,2013-07-23
N200910068389,18,18,0,0,2299 Market St,3564091,PL Approved,2010-08-16
N201006164608,3,2,0,0,1456 Chestnut St,480003E,PL Approved,2011-09-23
N200903254882,2,1,0,0,228 Sweeny St,5859033,PL Approved,2010-04-26
N201007156721,2,1,0,0,471 29th St,6631031,PL Approved,2010-10-14
N201112231274,6,1,0,0,929 Broderick St,1152006,PL Approved,2012-05-15
N201104013321,1,1,0,0,3210 Jackson St,973031,CONSTRUCTION,2013-09-09
N201303293418,2,1,0,0,1927 Golden Gate Av,1158037,CONSTRUCTION,2014-03-17
N201109164830,2,1,0,0,1622 11th Av,1933041,CONSTRUCTION,2013-09-04
N201107140249,2,1,0,0,436 Moraga St,1933024,PL Filed,2011-07-20
N201203095742,2,1,0,0,1721 Church St,6633020,PL Approved,2012-10-18
N201202154236,20,20,0,0,1717 17th St,3980007,CONSTRUCTION,2014-03-28
N201206152694,3,1,0,0,809 Lyon St,1150007,CONSTRUCTION,2014-02-05
N201208318724,3,1,0,0,2135 Beach St,919007D,CONSTRUCTION,2013-11-13
N201301228425,2,1,0,0,2550 Webster St,580013,BP ISSUED,2014-03-20
N201305287999,2,1,0,0,263 Lexington St,3596059,CONSTRUCTION,2014-03-20
