PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201305026020,3,3,0,0,1100 POTRERO AV,4211001,BP FILED,2013-05-02
N201303051501,6,4,0,0,2500 CLEMENT ST,1407017,BP FILED,2013-03-05
N200609253194,1,1,0,0,29 JOY ST,5577013,BP FILED,2006-09-25
N200602094307,2,2,0,0,1090 CHURCH ST,3628014,BP FILED,2006-02-09
N200612139805,3,3,0,0,4411 CABRILLO ST,1688001A,BP FILED,2006-12-13
N201312043354,24,3,0,0,885 FRANKLIN ST,744020,BP FILED,2013-12-04
N201408053038,2,1,0,0,335 RALSTON ST,7003013,BP ISSUED,2015-06-01
N201103232716,2,1,0,0,977 NORTH POINT ST,453011,BP FILED,2011-03-23
N200605222098,2,1,0,0,622 29TH AV,1571015C,BP FILED,2006-05-22
N200804159772,2,1,0,0,411 28TH AV,1460024,BP FILED,2008-04-15
N200805142097,2,1,0,0,1331 FLORIDA ST,4273018,BP FILED,2008-05-14
N200703216793,3,1,0,0,1366 SAN BRUNO AV,4263007,BP FILED,2007-03-21
N200606204561,1,1,0,0,47 LEDYARD ST,5395065,BP FILED,2006-06-20
N200505273609,1,1,0,0,346 22ND AV,1453033,CONSTRUCTION,2014-09-05
N201306280802,220,220,0,0,250 4TH ST,3733008,BP ISSUED,2014-09-12
N201301319232,160,160,10,10,1321 Mission Street,3509043,CONSTRUCTION,2015-03-31
N201306280783,132,132,0,0,144 KING ST,3794024,CONSTRUCTION,2015-06-05
N201410017815,155,17,0,0,33 POWELL ST,330004,CONSTRUCTION,2015-05-28
N200810013092,2,2,0,0,1794 SAN JOSE AV,6793011,BP FILED,2008-10-01
N200608290916,8,8,0,0,382 RANDOLPH ST,7088051,BP APPROVED,2011-11-28
N200609152421,2,1,0,0,440 29TH ST,6620014,CONSTRUCTION,2014-04-01
N201302210648,3,3,0,0,39 SAN CARLOS ST,3576018,CONSTRUCTION,2015-03-05
N201502269409,2,0,0,0,148 NOE ST,3540006,BP ISSUED,2015-05-28
N201211154328,2,1,0,0,383 FAIR OAKS ST,6512016,CONSTRUCTION,2014-09-29
N200712201032,2,1,0,0,168 CLIPPER ST,6549021,CONSTRUCTION,2014-09-12
N201409166416,2,1,0,0,333 RALSTON ST,7003014,BP ISSUED,2015-06-01
N201409247167,2,1,0,0,1172 PLYMOUTH AV,6943040,BP ISSUED,2015-02-06
N201308235140,1,1,0,0,1411 HUDSON AV,5258027,CONSTRUCTION,2015-03-16
N200412161565,1,1,0,0,834 44TH AV,1686033,CONSTRUCTION,2006-06-29
N200805192371,2,1,0,0,4035 18TH ST,3583082,CONSTRUCTION,2014-10-17
N201308235141,1,1,0,0,1415 HUDSON AV,5258026,CONSTRUCTION,2015-03-13
N201408214409,2,1,0,0,352 WALLER ST,859013,CONSTRUCTION,2015-03-06
N201303202580,1,1,0,0,2 FLOOD AV,6774012,CONSTRUCTION,2015-02-02
N201010072487,1,1,0,0,524 VIENNA ST,6090004,CONSTRUCTION,2013-10-17
