PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE
N201308093997,722,2,0,0,515 JOHN MUIR DR,7282005,CONSTRUCTION,2014-10-21
N201208026344,399,399,0,0,100 VAN NESS AV,814020,CONSTRUCTION,2015-03-30
N201203196326,182,182,0,0,240 05TH ST,3732150,BP ISSUED,2012-08-27
N201205180774,37,37,0,0,25 DOLORES ST,3534069,CONSTRUCTION,2015-01-09
N200810023278,22,22,0,0,2210 MARKET ST,3560001,BP ISSUED,2012-03-14
N201007297765,21,21,0,0,2353 LOMBARD ST,512025,BP FILED,2010-07-29
N200408121427,18,18,0,0,899 VALENCIA ST,3596113,CONSTRUCTION,2015-03-03
N200311180506,13,13,0,0,200 DOLORES ST,3557062,BP FILED,2008-08-19
N201310078679,9,9,1,1,33 NORFOLK ST,3521053A,PL FILED,2014-04-17
N9902819,8,8,0,0,1179 TENNESSEE ST,4172053,CONSTRUCTION,2014-12-18
N200603025880,6,6,0,0,782-786 ANDOVER ST,5825007,CONSTRUCTION,2013-11-08
N200803207576,5,3,0,0,435 DUBOCE AV,3537087,PL APPROVED,2011-08-10
N201401146235,3,1,0,0,1155 CHURCH ST,3650028,CONSTRUCTION,2015-03-13
N200905208827,3,2,0,0,251 ARKANSAS ST,4004024,CONSTRUCTION,2014-05-29
N201405216415,3,1,0,0,1886 MCALLISTER ST,1158022,BP ISSUED,2014-09-24
N200706143970,3,2,0,0,520 28TH AV,1517030,CONSTRUCTION,2014-09-25
N201304023614,2,2,0,0,850 BATTERY ST,141008,CONSTRUCTION,2015-04-01
N201207064206,2,2,0,0,1069 CAPP ST,6527019,BP ISSUED,2013-05-08
N201407090778,2,2,0,0,1513 YORK ST,5513012,BP FILED,2014-07-09
N201410068221,2,1,0,0,1248 SILVER AV,5918001,BP REINSTATED,2014-10-10
N201309247562,2,1,0,0,2755 MCALLISTER ST,1168040,BP ISSUED,2014-08-08
N201312103821,2,1,0,0,750 27TH STREET,6583010,CONSTRUCTION,2014-12-19
N201310189655,2,1,0,0,75 MARS ST,2653016,BP ISSUED,2014-04-23
N200805232798,2,1,0,0,838 KANSAS ST,4093007,CONSTRUCTION,2014-12-23
N201311222623,2,1,0,0,961 CHURCH ST,3619039,CONSTRUCTION,2014-10-21
N201001074297,2,1,0,0,1766 OAKDALE AV,5312018,CONSTRUCTION,2014-12-08
N201311010862,2,1,0,0,1424 10TH AV,1844040,BP ISSUED,2014-03-25
N200807176993,1,1,0,0,165 BRUSSELS ST,5926022,CONSTRUCTION,2014-10-16
N200712241234,1,1,0,0,2626 FILBERT ST,943003B,CONSTRUCTION,2013-09-30
N201301047264,1,1,0,0,1310 GENEVA AV,6415022,CONSTRUCTION,2013-12-17
N201305036095,1,1,0,0,126 27TH AV,1332049,CONSTRUCTION,2014-12-30
