PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN,BESTSTAT,BESTDATE,LOCATION
N200711198515,2,1,0,0,658 03rd Av,1642036,BP ISSUED,2013-01-25,"(37.776291, -122.460387)"
N200612069310,2,2,0,0,2416 30th Av,2396036,BP Filed,2006-12-06,"(37.7421645, -122.4874311)"
N201402047761,56,56,0,0,2800 Sloat Bl,2515001,BP Filed,2014-02-04,"(37.735854, -122.504737)"
N200703216875,1,1,0,0,345 Louisburg St,7036012,BP Filed,2007-03-21,"(37.718844, -122.450965)"
N200712200952,2,1,0,0,6524 Fulton St,1684002I,CONSTRUCTION,2011-06-03,"(37.772017, -122.501834)"
N201404304554,418,418,0,0,57 Tehama St,3736078A,BP Filed,2014-04-30,"(37.787039, -122.396591)"
N200607126309,66,66,0,0,48 Tehama St,3736085,BP Filed,2006-07-12,"(37.787356, -122.396677)"
N201208036505,384,384,0,0,340 Fremont St,3748006,BP FILED,2012-08-03,"(37.787364, -122.39304)"
N201009140800,320,320,0,0,45 Lansing St,3749059,CONSTRUCTION,2014-06-04,"(37.786042, -122.393859)"
N200607146552,26,26,0,0,870 Harrison St,3752019,CONSTRUCTION,2014-06-03,"(37.779728, -122.401244)"
N200702204428,3,3,0,0,12 Sherman St,3754042,BP ISSUED,2012-11-26,"(37.777212, -122.406993)"
N201006225046,1,1,0,0,62 Schwerin St,6255006,CONSTRUCTION,2011-08-19,"(37.7125325, -122.4105238)"
N201308235158,1,1,0,0,89 Belgrave Av,2688072,BP Filed,2013-08-23,"(37.759361, -122.449717)"
N201307303137,408,408,0,0,350 08th St,3756003,BP ISSUED,2014-03-20,"(37.773694, -122.409658)"
N200705312675,3,2,0,0,56 Ringold St,3756025,CONSTRUCTION,2014-03-12,"(37.7739598, -122.4105294)"
N200706053001,3,3,0,0,3241 25th St,6525034,BP Filed,2007-06-05,"(37.750725, -122.414798)"
N200703307744,3,3,0,0,1225 Dolores St,6534029,BP APPROVED,2013-07-24,"(37.749797, -122.424715)"
N200712201032,2,1,0,0,168 Clipper St,6549021,CONSTRUCTION,2014-02-25,"(37.749346, -122.428656)"
N200606234934,2,1,0,0,3736 Cesar Chavez St,6567013,CONSTRUCTION,2014-04-09,"(37.74809, -122.423474)"
N200606073385,2,1,0,0,389 27th St,6592034,CONSTRUCTION,2007-10-29,"(37.74666, -122.428751)"
N200602073988,2,1,0,0,230 Duncan St,6593006,CONSTRUCTION,2008-02-05,"(37.746322, -122.425453)"
N201210091512,2,1,0,0,2207 25th St,4282A023,CONSTRUCTION,2013-03-12,"(37.751823, -122.400799)"
N201009241613,2,1,0,0,1734 Newcomb Av,5305010,BP Filed,2010-09-24,"(37.73688, -122.392156)"
N201006214964,4,4,0,0,3143 24th St,6520035,PL Filed,2011-05-23,"(37.752225, -122.414878)"
N201006104250,61,61,0,0,5050 Mission St,6969011,BP APPROVED,2014-03-13,"(37.717747, -122.440601)"
N201004150330,2,1,0,0,727 29th Av,1615003,CONSTRUCTION,2013-05-13,"(37.775539, -122.489031)"
N201106228677,4,1,0,0,1551 Franklin St,665002,BP ISSUED,2014-06-30,"(37.788965, -122.423985)"
N201306280802,208,208,0,0,250 4th St,3733008,BP Filed,2013-06-28,"(37.782449, -122.401973)"
N200612139805,3,3,0,0,4411 Cabrillo St,1688001A,BP Filed,2006-12-13,"(37.7734259, -122.5060854)"
N200709072126,2,1,0,0,836 48th Av,1690032,BP REINSTATED,2011-11-08,"(37.7725997, -122.5088171)"
N200605111391,2,2,0,0,1208 15th Av,1736033,CONSTRUCTION,2014-06-06,"(37.7653173, -122.4728932)"
N200607217229,2,1,0,0,614 Kirkham St,1843019,BP Filed,2006-07-21,"(37.760495, -122.467503)"
N200407158977,1,1,0,0,1310 Stanyan St,2706035,CONSTRUCTION,2012-07-05,"(37.758529, -122.4513055)"
N200807308027,2,1,0,0,49 Grace St,3509027,BP Filed,2008-07-30,"(37.7750606, -122.4145751)"
N200810315586,121,121,0,0,1415 Mission St,3510001,BP ISSUED,2013-07-22,"(37.7748965, -122.4159124)"
N200612018971,2,1,0,0,1698 10th Av,1934023,BP Filed,2006-12-01,"(37.7567209, -122.4666821)"
N200807035945,2,1,0,0,427 Moraga St,2039044,BP Filed,2008-07-03,"(37.756267, -122.467379)"
N200904065665,6,6,0,0,1701 09th Av,2040001,CONSTRUCTION,2013-01-08,"(37.756383, -122.466062)"
N200601132095,1,1,0,0,331 Collingwood St,2752024,BP Filed,2006-01-13,"(37.757074, -122.435437)"
N200708079019,10,10,0,0,2350 19th Av,2347004G,BP REINSTATED,2014-05-30,"(37.7438194, -122.4756291)"
N200806033455,2,1,0,0,2322 21st Av,2349036,BP ISSUED,2011-11-08,"(37.744416, -122.477609)"
N200712120290,3,3,0,0,3534 Taraval St,2374019,BP APPROVED,2009-02-26,"(37.7418936, -122.5041823)"
N201312315426,2,1,0,0,2337 Taraval St,2392037,BP Filed,2013-12-31,"(37.742112, -122.491388)"
N201007146550,2,2,0,0,2115 Taraval St,2394046,BP ISSUED,2012-12-31,"(37.742222, -122.488893)"
N201206293848,2,2,0,0,188 Museum Wy,2620119,BP ISSUED,2013-10-15,"(37.7641321, -122.4392874)"
N201305177243,24,24,0,0,376 Castro St,2623006,BP Filed,2013-05-17,"(37.7628728, -122.4354909)"
N201405307098,1,1,0,0,4126 17th St,2623028,BP Filed,2014-05-30,"(37.7624229, -122.4379264)"
N200509021966,2,1,0,0,70 Douglass St,2625007A,BP Filed,2006-03-03,"(37.7628033, -122.4396844)"
N200803288288,2,2,0,0,1169 Stanyan St,2630018,BP ISSUED,2013-09-25,"(37.7628905, -122.4522658)"
N200803278181,1,1,0,0,125 Crown Tr,2719B003,BP Filed,2008-03-27,"(37.757702, -122.446962)"
N200810224853,1,1,0,0,1240 Twin Peaks Bl,2821021,BP APPROVED,2010-05-26,"(37.746445, -122.450708)"
N201108233049,273,273,0,0,55 9th St,3701064,CONSTRUCTION,2013-12-09,"(37.777097, -122.415103)"
N200810224855,1,1,0,0,1230 Twin Peaks Bl,2821022,BP APPROVED,2010-05-26,"(37.746443, -122.450416)"
N200908255545,5,5,0,0,70 Crestline Dr,2845005,BP ISSUED,2013-05-15,"(37.7515334, -122.4461587)"
N200810315629,1,1,0,0,160 San Marcos Av,2861011,CONSTRUCTION,2014-01-23,"(37.747093, -122.465115)"
N201208207720,1,1,0,0,69 Garcia Av,2936A001D,BP Filed,2012-08-20,"(37.7440126, -122.4595218)"
N200609061483,1,1,0,0,1325 Portola Dr,2987A036,CONSTRUCTION,2013-12-20,"(37.7396538, -122.4646329)"
N200805061381,3,3,0,0,207 Los Palmos Dr,3027A001,CONSTRUCTION,2013-12-13,"(37.7358847, -122.4490906)"
N201203015201,71,71,0,0,50 Phelan Av,3180001,CONSTRUCTION,2014-06-26,"(37.7247045, -122.4529158)"
N200810315636,13,13,0,0,1446 Ocean Av,3197010,BP Filed,2008-10-31,"(37.724297, -122.4577536)"
N200607186852,6,6,0,0,270 Ocean Av,3211010A,BP APPROVED,2014-04-15,"(37.7232913, -122.442488)"
N200708109444,3,3,0,0,85 Brosnan St,3533165,BP REINSTATED,2012-03-06,"(37.7686187, -122.4240432)"
N201205180774,37,37,0,0,25 Dolores St,3534069,CONSTRUCTION,2014-07-01,"(37.76856, -122.426308)"
N201301097560,3,1,0,0,45 Belcher St,3537078,CONSTRUCTION,2014-05-01,"(37.7686275, -122.4300735)"
N200803207576,5,3,0,0,435 Duboce Av,3537087,PL Approved,2011-08-10,"(37.7693213, -122.4298348)"
N201312134180,87,87,0,0,2198 Market St,3542039,BP Filed,2013-12-13,"(37.766527, -122.430769)"
N201207205377,88,88,0,0,2175 Market St,3543011,CONSTRUCTION,2014-06-18,"(37.766286, -122.429913)"
N201012237367,39,39,0,0,1875 Mission St,3548032,CONSTRUCTION,2014-03-28,"(37.7671009, -122.419446)"
N201306280738,23,23,0,0,1450 15th St,3549064,BP Filed,2013-06-28,"(37.767092, -122.416833)"
N201207124717,669,669,0,0,201 Folsom St,3746001,CONSTRUCTION,2014-06-13,"(37.789186, -122.391823)"
N200605161774,452,452,0,0,399 Fremont St,3747320,BP ISSUED,2013-06-14,"(37.7868171, -122.3920976)"
N201210242702,8,8,0,0,1785 15th St,3555036,BP ISSUED,2013-12-18,"(37.7662059, -122.423806)"
N200311180506,13,13,0,0,200 Dolores St,3557062,BP Filed,2008-08-19,"(37.766058, -122.426912)"
N200810023278,22,22,0,0,2210 Market St,3560001,BP ISSUED,2012-03-14,"(37.7662428, -122.4307162)"
N201003248891,3,2,0,0,3249 17th St,3575063,BP ISSUED,2014-03-17,"(37.763279, -122.418264)"
N200805192371,2,1,0,0,4035 18th St,3583082,CONSTRUCTION,2014-06-23,"(37.7608993, -122.4336086)"
N200701292823,4,2,0,0,2374 Folsom St,3594009,CONSTRUCTION,2012-05-10,"(37.759346, -122.415088)"
N200512200747,6,6,0,0,3360 20th St,3594016,BP APPROVED,2010-10-21,"(37.759027, -122.416153)"
N200408121427,18,18,0,0,899 Valencia St,3596113,CONSTRUCTION,2014-07-01,"(37.7585073, -122.421269)"
N200808139076,1,1,0,0,3927 19th St,3601073,BP Filed,2008-08-13,"(37.759275, -122.431032)"
N200507147539,3,2,0,0,2986 22nd St,3613018B,CONSTRUCTION,2014-05-01,"(37.755902, -122.413965)"
N201301168124,114,114,0,0,2558 Mission St,3616007,CONSTRUCTION,2014-06-24,"(37.75611, -122.418986)"
N201012277437,15,15,0,0,1050 Valencia St,3617008,BP ISSUED,2013-07-17,"(37.755944, -122.421318)"
N200602094307,2,2,0,0,1090 Church St,3628014,BP Filed,2006-02-09,"(37.753472, -122.4276201)"
N200602023710,47,47,0,0,570 Jessie St,3703086,BP Filed,2006-02-02,"(37.7807661, -122.4101733)"
N200712211199,100,100,0,0,973 Market St,3704069,CONSTRUCTION,2008-08-14,"(37.782424, -122.40935)"
N201305015894,74,74,0,0,181 Fremont St,3719010,BP ISSUED,2013-12-26,"(37.789645, -122.395424)"
N200810063512,55,55,0,0,474 Natoma Street,3725101,CONSTRUCTION,2013-11-25,"(37.7805964, -122.4072383)"
N200809252699,10,10,0,0,574 Natoma St,3726075,BP Filed,2008-09-25,"(37.778916, -122.4093867)"
N200707055953,7,7,0,0,4132 Third Street,5260002,CONSTRUCTION,2014-06-30,"(37.740114, -122.389089)"
N200709193092,2,1,0,0,1076 Hampshire St,4152016,CONSTRUCTION,2012-02-21,"(37.7549744, -122.4076295)"
N9902819,8,8,0,0,1179 Tennessee St,4172053,CONSTRUCTION,2014-05-23,"(37.7559927, -122.3890583)"
N201104194374,3,1,0,0,639 Natoma St,3727035,CONSTRUCTION,2013-04-01,"(37.777587, -122.410698)"
N200606093615,25,25,0,0,1145 Mission St,3727168,BP Filed,2006-06-09,"(37.778401, -122.411708)"
N200806164548,76,37,0,0,226 06th St,3731003,BP ISSUED,2012-12-10,"(37.779331, -122.406813)"
N200601202701,8,8,0,0,190 Russ St,3731087,BP Filed,2006-01-20,"(37.777758, -122.407112)"
N200806063801,4,4,0,0,48 Harriet St,3731102,BP Filed,2008-06-06,"(37.778626, -122.407056)"
N201106017208,282,282,0,0,900 Folsom St,3732009,CONSTRUCTION,2014-03-13,"(37.780261, -122.403606)"
N200507208144,25,25,0,0,468 Clementina St,3732071,BP ISSUED,2013-10-23,"(37.779669, -122.405496)"
N201108112225,1,1,0,0,457 Tehama St,3732087,BP REINSTATED,2013-08-05,"(37.780007, -122.405495)"
N200506074411,2,2,0,0,746 Carolina St,4096005,CONSTRUCTION,2010-03-22,"(37.759037, -122.400236)"
N201402118267,2,1,0,0,891 Carolina St,4097027,BP Filed,2014-02-11,"(37.757322, -122.399838)"
N200612159955,2,1,0,0,749 Wisconsin St,4098027,BP Filed,2006-12-15,"(37.758092, -122.398869)"
N200412211855,312,312,0,0,425 First Street,3765015,CONSTRUCTION,2014-06-09,"(37.786483, -122.392035)"
N200903134091,113,113,0,0,429 Beale St,3767305,PL Approved,2009-05-14,"(37.787224, -122.390383)"
N200504281137,1,1,0,0,136 South Park Av,3775063,BP APPROVED,2011-02-08,"(37.78146, -122.394685)"
N201309045886,557,557,0,0,801 Brannan St,3783001,BP Filed,2013-09-04,"(37.77295, -122.403224)"
N200705010136,74,74,0,0,72 Townsend St,3789003,CONSTRUCTION,2014-06-11,"(37.781143, -122.390093)"
N201306280783,132,132,0,0,144 King St,3794024,BP Filed,2013-06-28,"(37.778734, -122.391289)"
N201107220904,15,15,0,0,1150 16th Street,3821007,BP Filed,2011-07-22,"(37.766499, -122.398135)"
N201112070227,385,385,0,0,1000 16th St,3833001,BP ISSUED,2012-09-07,"(37.76649, -122.396988)"
N200805142097,2,1,0,0,1331 Florida St,4273018,BP Filed,2008-05-14,"(37.750589, -122.409664)"
N201306250394,560,560,0,0,1 Henry Adams St,3911001,BP APPROVED,2014-03-14,"(37.769666, -122.403866)"
N201208248160,12,12,0,0,2401 16th St,3965001,CONSTRUCTION,2014-06-30,"(37.765523, -122.410614)"
N201306250465,77,77,0,0,480 Potrero Av,3973002C,BP REINSTATED,2014-05-23,"(37.763525, -122.407532)"
N201312244989,111,111,0,0,630 Indiana St,4041009,BP Filed,2013-12-24,"(37.7624772, -122.3916501)"
N201309257711,69,69,0,0,2298 03rd St,4059009,BP Filed,2013-09-25,"(37.760595, -122.388823)"
N201012307679,2,2,0,0,857 Alabama St,4085026,CONSTRUCTION,2012-11-02,"(37.758215, -122.411297)"
N200805232798,2,1,0,0,838 Kansas St,4093007,CONSTRUCTION,2014-04-09,"(37.758981, -122.40316)"
N201405085278,9,9,0,0,2420 03rd St,4108003,BP Filed,2014-05-08,"(37.758984, -122.388699)"
N200503298688,2,1,0,0,948 Hampshire St,4143008,BP ISSUED,2009-03-12,"(37.756913, -122.40785)"
N201207114624,4,3,0,0,2830 24th St,4209017,BP Filed,2012-07-11,"(37.752974, -122.408757)"
N200710155355,2,1,0,0,1196 Hampshire St,4210013,CONSTRUCTION,2013-07-03,"(37.753108, -122.407517)"
N200804038738,3,2,0,0,1321 De Haro St,4218036,PL Approved,2009-07-16,"(37.752861, -122.400218)"
N200705010141,28,28,0,0,1004 Mississippi St,4224015,BP APPROVED,2009-01-16,"(37.753144, -122.393815)"
N200705010119,2,2,0,0,1036 Mississippi St,4224018,BP APPROVED,2009-12-01,"(37.752943, -122.393853)"
N201308295550,3,1,0,0,1087 Mississippi St,4224049,BP Filed,2013-08-29,"(37.752659, -122.393488)"
N200212244171,81,71,0,0,1301 Indiana St,4228158,CONSTRUCTION,2014-06-02,"(37.753914, -122.390975)"
N200703216793,3,1,0,0,1366 San Bruno Av,4263007,BP Filed,2007-03-21,"(37.752305, -122.404446)"
N200402267273,4,4,0,0,860 Innes Av,4645018,BP ISSUED,2013-06-24,"(37.731973, -122.375385)"
N200607106046,1,1,0,0,162 Brewster St,5556019,CONSTRUCTION,2014-05-21,"(37.744057, -122.407352)"
N200612018992,2,1,0,0,2838 Jennings St,4912002,CONSTRUCTION,2007-11-16,"(37.722476, -122.392991)"
N200610245911,1,1,0,0,1060 Gilman Av,4937014,BP REINSTATED,2010-11-04,"(37.718953, -122.389126)"
N200407027962,1,1,0,0,870 Ingerson Av,4964019,BP REINSTATED,2014-05-23,"(37.717782, -122.390403)"
N200609071583,1,1,0,0,750 Jamestown Av,4976019,CONSTRUCTION,2009-04-16,"(37.715691, -122.38935)"
N9924080S,132,14,0,0,833-881 Jamestown,4991277,CONSTRUCTION,2007-09-17,"(37.711415, -122.386789)"
N200611036818,4,4,0,0,2175 Bayshore Bl,5066B003,BP APPROVED,2009-11-23,"(37.712343, -122.401304)"
N201308235141,1,1,0,0,1415 Hudson Av,5258026,BP Filed,2013-08-23,"(37.738036, -122.385023)"
N201308235140,1,1,0,0,1411 Hudson Av,5258027,BP Filed,2013-08-23,"(37.738012, -122.384981)"
N200507137493,2,2,0,0,1665 Palou Av,5327038,CONSTRUCTION,2014-05-19,"(37.734545, -122.392226)"
N200701171881,1,1,0,0,1911 Quesada Av,5336048,PL Filed,2013-08-08,"(37.735792, -122.396076)"
N200606204561,1,1,0,0,47 Ledyard St,5395065,BP Filed,2006-06-20,"(37.733382, -122.401974)"
N201211073775,121,121,0,0,5800 03rd St,5431A001,BP ISSUED,2013-12-13,"(37.72543, -122.394483)"
N201209270766,10,10,0,0,2895 San Bruno Av,5457037,BP ISSUED,2013-08-19,"(37.725451, -122.402519)"
N200611308862,1,1,0,0,3595 Keith St,5476014,BP ISSUED,2014-04-08,"(37.719186, -122.398654)"
N200701121612,2,2,0,0,3119 Harrison St,5504001H,CONSTRUCTION,2011-05-03,"(37.748056, -122.411274)"
N200803066478,2,1,0,0,3301 Folsom St,5524045,BP Filed,2008-03-06,"(37.745062, -122.413265)"
N200805051348,1,1,0,0,98 Norwich St,5525018,BP Filed,2008-05-05,"(37.745246, -122.411804)"
N200609253190,3,3,0,0,384 Holladay Av,5577002,PL Approved,2009-08-19,"(37.743781, -122.406375)"
N200609253191,3,3,0,0,195 Brewster St,5577009,PL Filed,2011-04-07,"(37.743127, -122.407738)"
N200609253192,1,1,0,0,193 Brewster St,5577010,BP Filed,2006-09-25,"(37.743156, -122.407688)"
N200609253193,1,1,0,0,191 Brewster St,5577011,PL Approved,2009-10-28,"(37.743185, -122.407638)"
N201305157021,1,1,0,0,175 Brewster St,5577012,BP Filed,2013-05-15,"(37.743528, -122.40725)"
N200609253194,1,1,0,0,29 Joy St,5577013,BP Filed,2006-09-25,"(37.743604, -122.406711)"
N200712120285,4,3,0,0,353 San Jose Av,6531022,BP REINSTATED,2013-08-05,"(37.749705, -122.42118)"
N200702063543,4,3,0,0,1710 Diamond St,7535102,CONSTRUCTION,2014-06-24,"(37.743704, -122.435778)"
N200603015694,1,1,0,0,133 Elsie St,5619057,CONSTRUCTION,2014-06-26,"(37.742368, -122.417814)"
N200701192144,1,1,0,0,495 Chapman St,5627042,BP Filed,2007-01-19,"(37.741756, -122.413081)"
N200811196948,2,1,0,0,2104 Castro St,6611003,BP Filed,2008-11-19,"(37.74477, -122.433557)"
N200712190876,1,1,0,0,538 Valley St,6611014,BP Filed,2007-12-19,"(37.744223, -122.43408)"
N201303293381,2,1,0,0,349 Richland Av,5721077,BP Filed,2013-03-29,"(37.735821, -122.418467)"
N200806043667,2,2,0,0,347 Crescent Av,5744075,BP Filed,2008-06-04,"(37.735063, -122.417761)"
N200603025880,6,6,0,0,782-786 Andover St,5825007,CONSTRUCTION,2013-08-01,"(37.733671, -122.417086)"
N200603025881,2,2,0,0,790 Andover St,5825008,CONSTRUCTION,2014-01-30,"(37.733619, -122.417035)"
N200706265226,2,2,0,0,104 Bache St,5826002,BP ISSUED,2009-08-04,"(37.733907, -122.41763)"
N200704279893,2,2,0,0,106 Bache St,5826003,BP Filed,2007-04-27,"(37.733901, -122.417637)"
N200412010421,2,2,0,0,2350 San Bruno Av,5880002,BP ISSUED,2013-01-24,"(37.733184, -122.406229)"
N200708099236,2,1,0,0,1395 Silver Av,5883002,BP Filed,2007-08-09,"(37.731474, -122.409078)"
N200807176988,1,1,0,0,167 Brussels St,5926021,BP ISSUED,2011-03-07,"(37.730009, -122.406589)"
N200711077587,2,1,0,0,268 Madison St,5943008,CONSTRUCTION,2014-01-08,"(37.725758, -122.422661)"
N200312243005,2,2,0,0,395 Athens St,6022014,CONSTRUCTION,2014-06-11,"(37.721789, -122.428118)"
N200611036814,2,1,0,0,71 Bishop St,6168012,BP ISSUED,2009-12-31,"(37.718302, -122.404121)"
N200611036809,1,1,0,0,67 Bishop St,6168013,BP ISSUED,2009-12-31,"(37.71833, -122.404109)"
N200401063464,1,1,0,0,23 Sparta St,6176011,BP ISSUED,2010-06-04,"(37.718079, -122.40335)"
N200806194898,1,1,0,0,138 Alpha St,6208003,BP ISSUED,2013-04-25,"(37.714095, -122.404408)"
N200703025289,2,1,0,0,469 Raymond Av,6244036,BP REINSTATED,2012-02-29,"(37.714637, -122.412886)"
N200705221925,4,3,0,0,101 Leland Av,6250036,BP Filed,2007-05-22,"(37.711925, -122.405791)"
N200801112324,2,1,0,0,4847 Mission St,6272018,CONSTRUCTION,2009-02-25,"(37.720738, -122.437618)"
N200812228987,2,1,0,0,239 Valley Street,6619022,CONSTRUCTION,2012-12-21,"(37.744318, -122.427634)"
N200609152421,2,1,0,0,440 29th St,6620014,CONSTRUCTION,2014-04-01,"(37.743644, -122.429833)"
