PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N200505273609,1,1,0,0,346 22nd Av,1453033
N200608179803,2,1,0,0,536 40th Av,1505027
N200605111391,2,2,0,0,1208 15th Av,1736033
N200904065665,6,6,0,0,1701 09th Av,2040001
N201205180774,37,37,0,0,25 Dolores St,3534069
N201301097560,3,1,0,0,45 Belcher St,3537078
N201207205377,88,88,0,0,2175 Market St,3543011
N201012237367,39,39,0,0,1875 Mission St,3548032
N201111038205,40,40,0,0,1501 15th St,3553054
N200805192371,2,1,0,0,4035 18th St,3583082
N200505031415,2,1,0,0,530 Sanchez St,3584007
N200701292823,4,2,0,0,2374 Folsom St,3594009
N200712211199,100,100,0,0,973 Market St,3704069
N200810063512,55,55,0,0,474 Natoma Street,3725101
N200709193092,2,2,0,0,1076-1078 Hampshire St,4152016
N9902819,8,8,0,0,1179 Tennessee St,4172053
N201104194374,3,1,0,0,639 Natoma St,3727035
N201106017202,182,182,0,0,260 05th St,3732008
N201106017208,282,282,0,0,900 Folsom St,3732009
N201009140800,320,320,0,0,45 Lansing St,3749059
N200607146552,26,26,0,0,870 Harrison St,3752019
N200705312675,3,2,0,0,56 Ringold St,3756025
N200412211855,312,312,0,0,425 First Street,3765015
N200705010136,74,74,0,0,72 Townsend St,3789003
N201208248160,12,12,0,0,2401 16th St,3965001
N201012307679,2,2,0,0,857 Alabama St,4085026
N200805232798,2,1,0,0,838 Kansas St,4093007
N200506074411,2,2,0,0,746 Carolina St,4096005
N200612018992,2,1,0,0,2838 Jennings St,4912002
N200607106046,1,1,0,0,162 Brewster St,5556019
N200609071583,1,1,0,0,750 Jamestown Av,4976019
N9924080S,132,132,0,0,833-881 Jamestown,4991277
N200707055953,7,7,0,0,4132 03rd St,5260003
N200507137493,2,2,0,0,1665 Palou Av,5327038
N200701121612,2,2,0,0,3119 Harrison St,5504001H
N200702063543,4,3,0,0,1710 Diamond St,7535102
N200711077587,80,77,0,0,268 Madison St,5943008
N200312243005,2,2,0,0,395 Athens St,6022014
N200801112324,2,1,0,0,4847 Mission St,6272018
N200712201032,2,1,0,0,168 Clipper St,6549021
N200606234934,2,1,0,0,3736 Cesar Chavez St,6567013
N200606073385,2,1,0,0,389 27th St,6592034
N200602073988,2,1,0,0,230 Duncan St,6593006
N200812228987,2,1,0,0,239 Valley Street,6619022
N200711148137,2,1,0,0,577 29th St,6630031
N200809262740,2,1,0,0,2626 Larkin St,69011
N200712281517,3,1,0,0,414 Vallejo St,133012
N201105166063,75,75,0,0,235 Broadway,165021
N200608290880,35,35,0,0,1080 Sutter St,279011
N200912243842,17,1,0,0,693 Sutter St,297009
N200605232239,9,9,0,0,130 Turk St,339006
N201012156753,90,90,0,0,101 Golden Gate Av,349001
N201106017181,27,27,0,0,2559 Van Ness Av,527002
N201110146841,38,38,0,0,1645-1661 Pacific Av,595013
N200809252660,69,69,0,0,1450 Franklin St,671006
N200605091174,3,1,0,0,279 26th Av,1386015
N201208036517,49,49,0,0,4 Octavia St,855011
N200207171660,8,8,0,0,3150 Geary Bl,1066028
N200711309388,3,3,0,0,1870 Golden Gate Av,1152017
N200808270161,2,1,0,0,560 Central Av,1198028
N200201106632,3,3,0,0,950 Corbett Av,2799013
N200810315629,1,1,0,0,160 San Marcos Av,2861011
N200712200952,2,1,0,0,6524 Fulton St,1684002I
N200407158977,1,1,0,0,1310 Stanyan St,2706035
N201108233049,273,273,0,0,55 9th St,3701064
N200609061483,1,1,0,0,1325 Portola Dr,2987A036
N200805061381,3,3,0,0,207 Los Palmos Dr,3027A001
N200507147539,3,2,0,0,2986 22nd St,3613018B
N201301168124,114,114,0,0,2558 Mission St,3616007
N200710155355,2,1,0,0,1196 Hampshire St,4210013
N200212244171,81,71,0,0,1301 Indiana St,4228158
N200603025880,6,6,0,0,782-786 Andover St,5825007
N200603025881,2,2,0,0,790 Andover St,5825008
