PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201011295645,1,1,0,0,721 Beach St,25017
N200809262740,2,1,0,0,2626 Larkin St,69011
N201105166063,75,75,0,0,235 Broadway,165021
N200912243842,17,1,0,0,693 Sutter St,297009
N200605232239,9,9,0,0,130 Turk St,339006
N201012307679,2,2,0,0,857 Alabama St,4085026
N201106017181,27,27,0,0,2559 Van Ness Av,527002
N200602215057,35,35,0,0,1860 Van Ness Av,619012
N200809252660,69,69,0,0,1450 Franklin St,671006
N201211093966,84,84,0,0,2655 Bush St,1052024
N201208036517,49,49,0,0,8 Octavia St,855011
N201209059006,450,450,0,0,218 Buchanan St,857001
N200605091174,3,1,0,0,279 26th Av,1386015
N200207171660,8,8,0,0,3150 Geary Bl,1066028
N200505273609,1,1,0,0,346 22nd Av,1453033
N200608179803,2,1,0,0,536 40th Av,1505027
N200706143970,3,2,0,0,520 28th Av,1517030
N201303071701,6,4,0,0,327 Balboa St,1640051
N200201106632,3,3,0,0,950 Corbett Av,2799013
N200904065665,6,6,0,0,1701 09th Av,2040001
N201206293848,2,2,0,0,188 Museum Wy,2620119
N200507137493,2,2,0,0,1665 Palou Av,5327038
N200407158977,1,1,0,0,1310 Stanyan St,2706035
N200711077576,1,1,0,0,83 Panorama Dr,2821010
N200810315629,1,1,0,0,160 San Marcos Av,2861011
N200609061483,1,1,0,0,1325 Portola Dr,2987A036
N201203015201,71,71,0,0,50 Phelan Av,3180001
N200810315586,156,156,0,0,1415 Mission St,3510001
N201205180774,37,37,0,0,25 Dolores St,3534069
N201301097560,3,1,0,0,45 Belcher St,3537078
N201012237367,39,39,0,0,1875 Mission St,3548032
N200805192371,2,1,0,0,4035 18th St,3583082
N200701292823,4,2,0,0,2374 Folsom St,3594009
N200408121427,18,18,0,0,899 Valencia St,3596113
N200507147539,3,2,0,0,2986 22nd St,3613018B
N201301168124,114,114,0,0,2558 Mission St,3616007
N200806164548,76,37,0,0,226 06th St,3731003
N201207124717,656,656,0,0,201 Folsom St,3746001
N200605161774,452,452,0,0,399 Fremont St,3747320
N200709193092,2,2,0,0,1076-1078 Hampshire St,4152016
N9902819,8,8,0,0,1179 Tennessee St,4172053
N201104194374,3,1,0,0,639 Natoma St,3727035
N200705312675,3,2,0,0,56 Ringold St,3756025
N200412211855,312,312,0,0,425 First Street,3765015
N200705010136,74,74,0,0,72 Townsend St,3789003
N200609071583,1,1,0,0,750 Jamestown Av,4976019
N200805232798,2,1,0,0,838 Kansas St,4093007
N200506074411,2,2,0,0,746 Carolina St,4096005
N200710155355,2,1,0,0,1196 Hampshire St,4210013
N200607106046,1,1,0,0,162 Brewster St,5556019
N200612018992,2,1,0,0,2838 Jennings St,4912002
N9924080S,132,132,0,0,833-881 Jamestown,4991277
N200707055953,7,7,0,0,4132 03rd St,5260003
N201211073775,271,271,0,0,5800 03rd St,5431A001
N200701121612,2,2,0,0,3119 Harrison St,5504001H
N200603015694,1,1,0,0,133 Elsie St,5619057
N200603025880,6,6,0,0,782-786 Andover St,5825007
N200603025881,2,2,0,0,790 Andover St,5825008
N200711077587,80,77,0,0,268 Madison St,5943008
N200812228987,2,1,0,0,239 Valley Street,6619022
N200311240936,1,1,0,0,652 Lakeview Av,7016023
N201209119428,210,210,0,0,800 Brotherhood Way,7331003
N200905208827,3,2,0,0,251 Arkansas St,4004024
N201207316121,2,1,0,0,77 Farallones Street,7108033
N200712200979,2,1,0,0,7 Seymour St,1154023
N200901150303,3,1,0,0,338 Carl St,1265009
N200903174286,2,1,0,0,212 23rd Av,1411022
N201211284953,28,28,0,0,One Capitol Av,7148040
N201006225046,1,1,0,0,62 Schwerin St,6255006
N200911231869,2,1,0,0,446 33rd Av,1464014
N200912304034,2,2,0,0,447 Linden St,818048
N201001074297,2,1,0,0,1766 Oakdale Av,5312018
N201006043843,3,3,0,0,141 Albion St,3568068
N201009070276,1,1,0,0,717 Paris St,6349021
N201003057685,2,1,0,0,179 Delmar St,1270053
N201010253666,3,3,0,0,2034 Clement St,1412019
N201002035833,3,1,0,0,990 Guerrero St,3618071
N201003107932,1,1,0,0,890 Grove St,797019
N201303122049,15,15,0,0,248 - 252 09th St,3518006
N201009271661,2,2,0,0,3020 Laguna St,519029
N201210091512,2,1,0,0,2207 25th St,4282A023
N201005172557,7,7,0,0,1945 Hyde St,123002
N201004150330,2,1,0,0,727 29th Av,1615003
N201106238762,2,1,0,0,322 29th Av,1405045
N201009080449,4,4,0,0,136 Pixley St,516028A
N201102170507,2,1,0,0,147 South Park Av,3775031
N201012156796,2,1,0,0,461 Hoffman Av,6503020
N201012025978,2,2,0,0,551 22nd Av,1565006A
N201010072487,1,1,0,0,524 Vienna St,6090004
N201012106469,1,1,0,0,1927 Alemany Bl,6959030
N201301258793,3,2,0,0,748 Treat Av,3612055
N201103303154,2,1,0,0,10 Lundys Ln,5610029A
N201105256770,10,10,0,0,140 09th St,3509005
N201301319232,160,160,0,0,1321 Mission Street,3509043
N201210051462,182,182,0,0,Market Octavia - Parcel P,831023
N201101118224,2,1,0,0,4324 Anza St,1510022
N201112160822,2,1,0,0,4141 23rd St,2804041
N201112120494,2,1,0,0,4372 25th St,6540021
N201111078462,3,3,0,0,827 North Point St,26030
N201112070234,393,393,0,0,1006 16th St,3833002
N201209200274,4,4,0,0,685 Florida St,4022022
N201202174464,2,2,0,0,639 Peralta Av,5634014
N201110146866,2,1,0,0,166 Winfield St,5617014
N201203125903,2,2,0,0,149 29th St,6634026
N201203287050,2,1,0,0,2923 Harrison St,4271034
N201304023614,2,2,0,0,850 Battery St,141008
N201203055396,34,34,0,0,1650 Broadway *,570011
N201208026344,399,399,0,0,100 Van Ness Av,814020
N201206112282,2,2,0,0,930 Shotwell St,3641076
N201209048832,1,1,0,0,2538 03rd St,4172006
N201205039740,2,1,0,0,188 Broad St,7107023
N201207245587,2,1,0,0,758 Spruce St,1088022
N201305036095,1,1,0,0,126 27th Av,1332049
N201311071427,2,2,0,0,851 Corbett Av,2778013
N201207265893,4,4,0,0,3820 24th Street,3651017
N201212075751,3,1,0,0,519 Duboce Av,3538096
N201208157477,1,1,0,0,2342 Washington St,604015
N201209200264,1,1,0,0,526 Hickory St,829023
N201209059005,116,116,0,0,100 Buchanan St,870003
N201212216752,190,190,0,0,1420 Mission St,3507039
N201208278277,3,1,0,0,253 Sanchez St,3558029
N201212196559,1,1,0,0,262 University St,5972040
N200907223200,25,25,0,0,201 Donahue St,4591C093
N200912223674,12,12,0,0,200 Coleman St,4591C098
N200912223677,12,12,0,0,201 Friedell St,4591C094
N200912223676,12,12,0,0,198 Coleman St,4591C069
N201202295141,9,9,0,0,100 Avocet Wy,4591C057
N201202295146,9,9,0,0,421 Hudson Av,4591C068
N201202295142,9,9,0,0,101 Avocet Wy,4591C059
N201202295145,9,9,0,0,470 Innes Av,4591C046
N201202295144,9,9,0,0,420 Innes Av,4591C070
N201202295147,9,9,0,0,451 Hudson Av,4591C045
N200710185839,6,6,0,0,350 Linden St,817069
N201302210648,3,3,0,0,39 San Carlos St,3576018
N201301047264,1,1,0,0,1310 Geneva Av,6415022
N201303202580,1,1,0,0,2 Flood Av,6774012
N201306260603,2,1,0,0,2418 Balboa St,1568012
N201305036062,139,139,0,0,555 Fulton St,794028
N201304184893,1,1,0,0,2451 19th Av,2406037
N201304023626,479,479,0,0,280 Beale St,3738004
N201312103821,2,1,0,0,750 27th Street,6583010
N201307313198,3,1,0,0,967 Sutter St,300015
N201308083897,1,1,0,0,1535 Oak St,1222043
N201308093998,1,1,0,0,47 Moss St,3731119
N201307252819,2,1,0,0,858 Florida St,4085010
N201307051214,2,1,0,0,949 Hampshire St,4142030
N201308235132,2,1,0,0,56 Lucy St,5410008
N201307303152,2,2,0,0,3305 Broderick St,926008
N201308305736,2,2,0,0,270 Brighton Av,6944044
N201308124103,2,2,0,0,700 Brotherhood Wy,7332003
N201212246822,263,263,0,0,718 Long Bridge St,8710007
