PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201207124717,806,806,0,0,201 FOLSOM ST,3746001
N201308093997,722,2,0,0,515 JOHN MUIR DR,7282005
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001
N201304023626,479,479,0,0,280 BEALE ST,3738004
N201112070227,470,450,0,0,1000 16TH ST,3833001
N200605161774,452,447,0,0,399 FREMONT ST,3747320
N201307303137,416,416,0,0,350 08TH ST,3756003
N201208026344,399,399,0,0,100 VAN NESS AV,814020
N201212246822,263,263,0,0,718 LONG BRIDGE ST,8710007
N201009140800,320,305,0,0,45 LANSING ST,3749059
N201211073775,271,271,0,30,5800 03RD ST,5431A001
N201209119428,210,210,0,0,800 BROTHERHOOD WAY,7331003
N201209059006,450,191,0,0,218 Buchanan St,857001
N201212216752,190,190,190,190,1420 MISSION ST,3507039
N201210051462,182,182,0,0,MARKET OCTAVIA - PARCEL P,831023
N201307051190,162,162,0,0,101 POLK ST,811002
N201301319232,160,160,10,10,1321 MISSION STREET,3509043
N200810315586,156,156,0,0,1415 MISSION ST,3510001
N201305015894,140,140,0,0,181 FREMONT ST,3719010
N201305036062,139,139,0,0,555 FULTON ST,794028
N201209059005,116,116,160,160,100 BUCHANAN ST,870003
N200907223197,63,63,0,0,101 DONAHUE ST,4591C042
N201207104447,98,98,0,0,1100 GOLDEN GATE AV,757025
N201312134180,87,87,0,0,2198 MARKET ST,3542039
N201211093966,84,84,0,0,2655 BUSH ST,1052024
N201306250465,84,84,0,0,480 POTRERO AV,3973002C
N201311222660,77,77,0,0,2155 WEBSTER ST,629037
N200806164548,76,37,0,0,226 06TH ST,3731003
N201303273113,75,75,0,0,344 - 388 FULTON ST,785029
N200705010136,74,74,0,0,72 TOWNSEND ST,3789003
N200809252660,69,69,0,0,1450 FRANKLIN ST,671006
N201306260573,41,41,0,0,450 HAYES STREET,808039
N201205180774,37,37,0,0,25 DOLORES ST,3534069
N200602215057,35,35,0,0,1860 VAN NESS AV,619012
N200912223671,35,35,0,0,401 INNES AV,4591C095
N200912223673,34,34,0,0,50 JERROLD AV,4591C099
N201203055396,34,34,0,0,1650 BROADWAY *,570011
N201211284953,28,28,4,4,ONE CAPITOL AV,7148040
N200907223200,25,25,0,0,201 DONAHUE ST,4591C093
N200507208144,25,25,0,0,468 CLEMENTINA ST,3732071
N200408121427,18,18,0,0,899 VALENCIA ST,3596113
N200912243842,17,1,0,0,693 SUTTER ST,297009
N201303122049,15,15,0,0,248 - 252 09TH ST,3518006
N201202295144,9,9,0,0,420 INNES AV,4591C070
N200912223677,12,12,0,0,201 FRIEDELL ST,4591C094
N200912223674,12,12,0,0,200 COLEMAN ST,4591C098
N200912223676,12,12,0,0,198 COLEMAN ST,4591C069
N201105256770,10,10,0,0,140 09TH ST,3509005
N201202295141,9,9,0,0,100 AVOCET WY,4591C057
N201202295142,9,9,0,0,101 AVOCET WY,4591C059
N200605232239,9,9,0,0,130 TURK ST,339006
N201202295145,9,9,0,0,470 INNES AV,4591C046
N201202295147,9,9,0,0,451 HUDSON AV,4591C045
N201202295146,9,9,0,0,421 HUDSON AV,4591C068
N9902819,8,8,0,0,1179 TENNESSEE ST,4172053
