PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201207124717,806,806,0,0,201 FOLSOM ST,3746001
N201306250394,560,560,0,0,1 HENRY ADAMS ST,3911001
N201309045886,557,557,55,55,801 BRANNAN ST,3783001
N201209069080,550,550,83,83,"TRINITY PLAZA, PHASE III",3702391
N201112070227,470,470,94,94,1000 16TH ST,3833001
N200605161774,452,452,0,0,399 FREMONT ST,3747320
N201209059006,450,450,160,160,55 LAGUNA ST,0857001
N201307303137,416,416,62,62,350 08TH ST,3756003
N201404304554,403,403,0,0,57 TEHAMA ST,3736078A
N201212246822,263,263,0,0,718 LONG BRIDGE ST,8710007
N201312184508,260,260,31,31,1634 - 1690 PINE ST,0647007
N201312234917,263,263,34,34,1201 - 1225 TENNESSEE STREET,4172022
N201404042522,200,200,0,0,MISSION BAY BLOCK 7,8711031
N201210051462,182,182,0,0,PARCEL P - MARKET OCTAVIA,0831023
N201307051190,162,162,19,19,101 POLK ST,0811002
N201305036062,139,139,17,17,555 FULTON ST,0794028
N201312265046,129,129,0,0,360 BERRY ST,8704004
N201211073775,271,271,23,23,5800 03RD ST (BUILDING 4),5431A042
N201311202410,115,115,14,14,923 FOLSOM ST,3753106
N201207104447,98,98,98,98,1100 GOLDEN GATE AV,0757025
N201406279814,97,97,12,12,2051 03RD ST,3994001B
N201312093691,94,94,11,11,645 TEXAS ST,4102026
N201401166470,93,93,93,93,2600 ARELIOUS WALKER DR,4884025
N201312134180,87,87,10,10,2198 MARKET ST,3542039
N201010253666,3,3,0,0,2034 CLEMENT ST,1412019
N201205039740,2,1,0,0,188 BROAD ST,7107023
N200711198515,2,1,0,0,658 03RD AV,1642036
N201312093685,29,29,0,0,580 HAYES ST,0807010
N201206253387,2,1,0,0,4546 19TH ST,2700012
N200712200952,2,1,0,0,6524 FULTON ST,1684002I
N200903174286,2,1,0,0,212 23RD AV,1411022
N200901150303,3,1,0,0,338 CARL ST,1265009
N201506249835,2,1,0,0,2082 BANCROFT AV,5403035
N201211093966,84,84,0,0,2655 BUSH ST,1052024
N201306250465,84,84,11,11,480 POTRERO AV,3973002C
N201311222660,77,77,0,0,2101 & 2155 WEBSTER ST,0629037
N201305015894,140,140,0,0,181 FREMONT ST,3719010
N200705010136,74,74,7,7,72 TOWNSEND ST,3789003
N201311202405,72,72,11,11,346 POTRERO AV,3962008
N201303273113,75,75,8,8,PARCEL F,0785029
N200809252660,69,69,9,9,1450 FRANKLIN ST,0671006
N201211295086,67,67,67,67,200 - 214 06TH ST,3731001
N201203055396,34,34,0,0,1650 BROADWAY *,0570011
N201312244992,55,55,16,16,650 INDIANA ST,4041009
N200602023710,47,47,6,6,570 JESSIE ST,3703086
N201306260573,41,41,5,5,450 HAYES ST,0808039
N200806164548,76,37,0,0,226 06TH ST,3731003
N200912223673,34,34,0,0,50 JERROLD AV,4591C099
N200912223671,35,35,15,15,401 INNES AV,4591C095
N200602215057,35,35,0,0,1860 VAN NESS AV,0619012
N200912032516,35,35,5,5,1 FRANKLIN ST,0837003
N201406138386,27,27,2,2,832 SUTTER ST,0281003
N200507208144,25,25,0,0,468 CLEMENTINA ST,3732071
N200907223200,25,25,0,0,201 DONAHUE ST,4591C093
N201401247066,22,22,0,0,233-237 SHIPLEY ST,3753096
N201401297354,21,21,0,0,2353 - 2347 LOMBARD ST,0512026
N201211284953,28,28,17,17,ONE CAPITOL AV,7148040
N201311041054,16,16,0,0,3420 18TH ST,3576090
N201012277437,15,15,0,0,1050 VALENCIA ST,3617008
N201407100913,15,15,2,2,236 - 238 SHIPLEY ST / 77 FALMOUTH ST,3753314
N201202295144,9,9,0,0,420 INNES AV,4591C070
N200810315636,15,15,0,0,1490 OCEAN AV,3197010
N200912223676,12,12,0,0,198 COLEMAN ST,4591C069
N201305217457,12,12,1,1,690 PAGE ST,0843016
N201312124038,12,12,0,0,520 09TH ST,3526005
