PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N200605161774,452,452,0,0,399 FREMONT ST,3747320
N201212246822,263,263,0,0,718 LONG BRIDGE ST,8710007
N201210051462,182,182,0,0,PARCEL P - MARKET OCTAVIA,0831023
N201307051190,162,162,19,19,101 POLK ST,0811002
N201211073775,271,271,23,23,5800 03RD ST (BUILDING 4),5431A042
N200712200952,2,1,0,0,6524 FULTON ST,1684002I
N200903174286,2,1,0,0,212 23RD AV,1411022
N200901150303,3,1,0,0,338 CARL ST,1265009
N200705010136,74,74,7,7,72 TOWNSEND ST,3789003
N200912223673,34,34,0,0,50 JERROLD AV,4591C099
N200912223671,35,35,15,15,401 INNES AV,4591C095
N200907223200,25,25,0,0,201 DONAHUE ST,4591C093
N201202295144,9,9,0,0,420 INNES AV,4591C070
N200912223676,12,12,0,0,198 COLEMAN ST,4591C069
N200912223674,12,12,0,0,200 COLEMAN ST,4591C098
N200912223677,12,12,0,0,201 FRIEDELL ST,4591C094
N200605232239,9,9,0,0,130 TURK ST,0339006
N201202295142,9,9,0,0,101 AVOCET WY,4591C059
N201202295141,9,9,0,0,100 AVOCET WY,4591C057
N201202295145,9,9,0,0,470 INNES AV,4591C046
N201412053180,36,8,0,0,52 INNES CT,4591C082
N200207171660,8,8,0,0,3150 GEARY BL,1066028
N200608290811,2,2,0,0,2350 SAN BRUNO AV,5880023
N200603025879,6,6,0,0,782-786 ANDOVER ST,5825007
N200607186852,6,6,0,0,270 OCEAN AV,3211010A
N201504163818,113,4,0,0,545 POST ST,0306022
N200201106632,3,3,0,0,950 CORBETT AV,2799013
N201211023396,3,3,0,0,946 RHODE ISLAND ST,4094024
N200708109444,3,3,0,0,85 BROSNAN ST,3533165
N201012025978,2,2,0,0,551 22ND AV,1565006A
N201307303152,2,2,0,0,3305 BRODERICK ST,0926008
N201203125903,2,2,0,0,149 29TH ST,6634026
N200506074411,2,2,0,0,746 CAROLINA ST,4096005
N200701121612,2,2,0,0,3119 HARRISON ST,5504001H
N200603025881,2,2,0,0,790 ANDOVER ST,5825008
N200709193092,2,2,0,0,1076 HAMPSHIRE ST,4152016
N200603035946,2,1,0,0,70 DOUGLASS ST,2625007A
N200407158977,1,1,0,0,1310 STANYAN ST,2706035
N200912243842,17,1,0,0,693 SUTTER ST,0297009
N201011295645,1,1,0,0,721 BEACH ST,0025017
N201308093998,1,1,0,0,49 MOSS ST,3731119
N201311051179,3,1,0,0,778 VALLEJO ST,0130020
N200609071583,1,1,0,0,750 JAMESTOWN AV,4976019
N200911231869,2,1,0,0,446 33RD AV,1464014
N201006225046,1,1,0,0,62 SCHWERIN ST,6255006
N200612018992,2,1,0,0,2838 JENNINGS ST,4912002
N201003107932,1,1,0,0,890 GROVE ST,0797019
N200711148137,2,1,0,0,577 29TH ST,6630031
N200812228987,2,1,0,0,239 VALLEY STREET,6619022
N200311240936,1,1,0,0,652 LAKEVIEW AV,7016023
N200602073988,2,1,0,0,230 DUNCAN ST,6593006
N200606073385,2,1,0,0,389 27TH ST,6592034
N200401063464,1,1,0,0,23 SPARTA ST,6176011
N200712200979,2,1,0,0,7 SEYMOUR ST,1154023
N201101118224,2,1,0,0,4324 ANZA ST,1510022
N201112160822,2,1,0,0,4141 23RD ST,2804041
N201209048832,1,1,0,0,2538 03RD ST,4172006
N200801112324,2,1,0,0,4847 MISSION ST,6272018
N201009070276,1,1,0,0,717 PARIS ST,6349021
N200609061483,1,1,0,0,1325 PORTOLA DR,2987A036
N201209190133,1,1,0,0,538 28TH ST,6604011
N201411121245,2,1,0,0,1752 QUESADA AV,5327019
N201410068187,2,1,0,0,371 STAPLES AV,3158033
N201411252498,2,1,0,0,1458 43RD AV,1811031
N201503302274,2,1,0,0,1160 PRAGUE ST,6484024
N201312134188,2,1,0,0,1340 ALABAMA ST,4271008
N201401287236,3,1,0,0,2332 TARAVAL ST,2362019
N201408073330,2,1,0,0,1659 42ND AV,1901012
N201405166001,1,1,0,0,2077 BANCROFT AV,5426030
N201408194209,2,1,0,0,379 LISBON ST,6080027
N201404173519,2,1,0,0,690 MONTEREY BL,3094055
