PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N200712281517,3.0,1.0,0,0,414 Vallejo St,133012
N201012156753,90.0,90.0,0,0,101 Golden Gate Av,349001
N200808270161,2.0,1.0,0,0,560 Central Av,1198028
N200805061381,3.0,3.0,0,0,207 Los Palmos Dr,3027A001
N201207205377,88.0,88.0,0,0,2175 Market St,3543011
N200712211199,100.0,100.0,0,0,973 Market St,3704069
N200810063512,55.0,55.0,0,0,474 Natoma Street,3725101
N201208248160,12.0,12.0,0,0,2401 16th St,3965001
N200212244171,81.0,71.0,0,0,1301 Indiana St,4228158
N200702063543,4.0,3.0,0,0,1710 Diamond St,7535102
N200509072195,2.0,2.0,0,0,156 Broad St,7107019
N201012036075,150.0,150.0,0,0,1000 Fourth Street (block 13 East),8711014
N200912314052,2.0,2.0,0,0,56 Peralta Av,5512029
N200912314050,2.0,2.0,0,0,62 Peralta Av,5512031
N201111179162,106.0,106.0,0,0,740 Illinois St And 2121 Third St,4045002
N201008168852,1.0,1.0,0,0,173 Marston St (aka 324 Havelock St,3185023
N201011295711,5.0,1.0,0,0,4159 24th St,6506034
N201112160853,2.0,2.0,0,0,427 31st Av,1463005
N201201112070,1.0,1.0,0,0,1530 48th Av,1893038
N201203276943,1.0,1.0,0,0,135 Yukon St,2716033
N201203266873,3.0,1.0,0,0,1326 Francisco St,473008
N201205090138,3.0,1.0,0,0,1368 Utah St,4264007
N201206112314,16.0,5.0,0,0,230 11th St,3516005
N201204057595,2.0,1.0,0,0,764 17th Av,1659030
N201304265571,19.0,19.0,0,0,1816 Eddy St,1127064
N201307111596,3.0,1.0,0,0,2028 Beach St,913011
N200706204573,11.0,11.0,0,0,3418 26th St,6529012
N201206182829,1.0,1.0,0,0,1973 Filbert St,531022
