PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N200705211788,3,1,0,0,2157 Lombard St,510029
N201109074027,24,24,0,0,1600 Market St,854001
N201012217106,115,115,0,0,1960-1998 Market St,872005
N200912183521,15,15,0,0,1266 09th Av,1742043
N200607207084,754,754,0,0,1401 Market St,3507041
N200506246051,88,88,0,0,333 Fremont St,3747019
N200701051074,19,19,0,0,246 Ritch St,3776092
N201204118076,1,1,0,0,322 Arleta Av,6233005
N200711137944,9,9,0,0,3135 24th St,6520036
N200912223711,52,52,0,0,63 West Point Rd,4624004
N201104224606,315,315,0,0,185 Channel St,8711023
N200907203020,1,1,0,0,40 Edgehill Wy,2923008
N201211134097,2,1,0,0,710 Cole St,1252046
N201207054130,273,273,0,0,1155 04th St,8713001
N201204249016,3,1,0,0,1265 Bay St,473015A
N201208298537,1,1,0,0,850 Brunswick St,6472007
N201212196526,2,1,0,0,542 Moraga St,1932022
N201212136160,2,1,0,0,1379 Revere Av,4788017
